PedidoID,ClienteID,SucursalID,EmpleadoID,FechaPedido,Estado,Total,Notas
47,1,12,11,9/10/23 18:21,Enviado,1041.19,
48,85,6,34,1/21/23 19:54,Completado,119.91,
49,66,12,15,1/24/24 12:01,Completado,1778.4,
50,84,3,10,12/9/24 16:20,Completado,342.54,
51,81,8,40,8/18/24 10:39,Completado,771.1,
52,29,3,8,2/3/24 16:02,Completado,3643.58,
53,7,17,3,1/29/24 16:26,Completado,2329.34,
54,65,8,17,7/15/24 20:49,En proceso,247.32,
55,14,11,12,12/14/24 11:22,Completado,175,
56,91,6,4,5/12/24 11:58,Completado,3013.41,
57,89,7,24,6/11/23 19:38,Completado,9319.22,
58,86,11,37,7/29/23 17:35,Completado,42.77,
59,32,16,14,4/26/23 12:25,Completado,674.75,
60,42,1,8,9/15/23 8:15,Completado,3834.45,
61,61,16,40,7/19/24 17:48,En proceso,1003.86,
62,13,16,27,7/1/24 10:59,Completado,3890.95,
63,12,1,19,10/24/23 14:15,Completado,2579.18,
64,8,5,34,11/24/24 9:30,Completado,6691.72,
65,58,4,2,4/8/23 13:39,En proceso,161.56,
66,48,6,28,10/10/24 10:27,En proceso,693.28,
67,50,10,19,9/28/23 13:23,Completado,972.41,
68,86,3,20,11/3/23 11:08,Completado,361.55,
69,84,4,28,2/11/24 18:55,Enviado,677.93,
70,44,6,29,2/6/23 14:52,Completado,939.1,
71,53,14,32,10/23/24 14:25,Completado,947.92,
72,35,14,23,12/2/23 11:50,En proceso,505.11,
73,41,4,7,7/10/23 14:49,Enviado,115.54,
74,96,1,1,6/16/23 15:04,Enviado,307.59,
75,24,2,26,6/5/24 9:57,Completado,804.88,
76,45,6,32,1/15/24 16:38,Cancelado,40.18,
77,56,1,25,2/1/24 15:44,Completado,1327.86,
78,55,3,9,8/8/24 17:05,Completado,348.98,
79,94,3,15,5/24/24 17:46,Completado,1150.86,
80,2,14,32,1/30/24 16:53,Completado,2134.18,
81,11,11,33,3/5/23 19:54,Completado,4378.88,
82,100,12,25,5/15/24 16:28,Completado,799.18,
83,29,8,25,1/7/24 13:50,En proceso,850.55,
84,13,4,4,11/20/23 9:41,Completado,4027.45,
85,90,17,18,11/8/23 8:26,Completado,12068.77,
86,40,1,5,10/7/23 17:42,Completado,2760.6,
87,70,20,19,12/1/24 15:05,Completado,3101.39,
88,39,18,1,12/3/24 18:47,En proceso,1618.39,
89,58,3,6,6/6/24 18:09,Completado,1524.94,
90,79,19,32,2/18/24 13:16,Enviado,72.96,
91,15,14,37,9/24/23 20:31,Completado,1478.46,
92,55,13,20,9/27/24 11:35,Completado,524.87,
93,34,11,25,4/25/24 12:50,Cancelado,763.04,
94,3,7,19,4/23/23 8:00,Enviado,1000.24,
95,48,5,21,9/15/23 9:44,En proceso,105.68,
96,81,9,33,2/28/23 10:23,Completado,274.02,
97,92,6,12,3/26/23 19:42,Enviado,215.78,
98,87,11,40,3/17/23 20:18,Cancelado,1598.49,
99,34,3,39,12/30/24 11:28,Completado,3688.16,
100,33,1,22,4/1/23 12:30,En proceso,2597.33,
101,78,1,2,9/3/24 15:24,Completado,1292.65,
102,75,6,9,7/7/23 17:34,Completado,6544.88,
103,35,6,27,8/24/23 8:55,Cancelado,1139.4,
104,6,15,8,3/19/24 8:12,En proceso,18.29,
105,99,4,30,7/31/23 20:02,Enviado,1871.88,
106,57,1,22,3/27/23 15:05,Cancelado,62.71,
107,73,5,12,9/28/24 9:12,Completado,3368.8,
108,4,7,40,3/30/24 8:59,Completado,1744.89,
109,9,3,15,2/27/24 8:24,Completado,1249.85,
110,81,17,32,1/4/24 15:33,Completado,623.82,
111,61,2,27,8/11/24 13:46,En proceso,2244.31,
112,57,4,13,2/27/24 11:06,Completado,487.5,
113,98,6,13,8/5/23 17:44,Completado,45.12,
114,18,8,27,11/29/23 14:34,Completado,1422.77,
115,74,17,30,2/2/23 10:26,Completado,141.22,
116,100,11,37,9/27/24 14:43,Completado,87.1,
117,6,10,30,3/30/23 19:58,Completado,2809.66,
118,100,19,26,11/17/24 8:32,Completado,1726.48,
119,75,5,40,7/13/24 12:46,En proceso,6127.66,
120,20,1,22,3/11/23 8:45,Completado,5287.92,
121,44,7,5,5/12/23 13:44,Completado,2822.6,
122,57,18,38,1/26/23 11:24,Completado,963.6,
123,61,12,20,6/7/23 12:01,Completado,567.33,
124,90,11,31,3/13/23 9:55,Cancelado,641.46,
125,40,4,15,4/30/24 18:59,Enviado,181.75,
126,13,11,34,11/23/23 18:17,Enviado,824.07,
127,50,16,37,1/9/24 12:43,Completado,697.67,
128,13,19,33,8/19/24 9:05,En proceso,529.54,
129,24,7,1,7/11/23 15:25,Completado,1301.6,
130,41,20,32,12/24/24 14:01,En proceso,1801.83,
131,30,20,22,7/20/23 19:56,Enviado,3127.97,
132,76,17,13,6/18/23 18:24,Cancelado,991.9,
133,35,6,3,8/13/23 20:25,Completado,3511.36,
134,45,18,27,5/8/24 13:19,Completado,144.52,
135,2,16,8,12/6/24 17:19,Cancelado,900.34,
136,34,14,7,2/4/24 19:41,Completado,91.18,
137,45,1,15,9/14/24 13:12,Completado,1074.3,
138,3,13,14,7/27/23 17:18,En proceso,909.31,
139,88,2,8,11/17/24 19:29,Enviado,311.12,
140,48,19,4,1/18/24 10:09,Completado,4750.8,
141,12,9,18,7/7/23 13:12,Cancelado,865.54,
142,62,2,39,6/29/24 8:23,Cancelado,1263.9,
143,64,10,13,8/25/24 8:39,En proceso,2381.92,
144,27,2,38,4/28/23 17:08,Completado,268.17,
145,67,5,11,5/15/24 12:55,Completado,269.56,
146,33,8,19,3/18/24 12:05,Completado,469.84,
147,49,17,30,10/10/23 9:26,Completado,154.96,
148,17,16,9,10/29/23 17:08,Completado,1153.25,
149,11,12,21,7/9/24 15:14,Completado,3193.98,
150,93,11,31,1/10/23 17:08,Completado,2768.17,
151,58,20,26,7/3/23 15:09,Completado,1110.9,
152,97,15,4,5/19/23 19:50,Completado,3422.53,
153,19,8,1,7/9/24 14:02,Cancelado,12.85,
154,96,14,16,4/5/23 14:02,Completado,796.37,
155,63,11,33,6/29/24 19:12,Cancelado,102.96,
156,42,7,25,7/29/24 19:20,Completado,420.47,
157,38,5,10,12/28/23 9:19,Enviado,447.48,
158,79,17,32,6/24/24 19:50,Enviado,1947.02,
159,56,15,21,10/3/24 16:11,Cancelado,7473,
160,61,12,12,6/23/24 9:20,Completado,2415.14,
161,49,10,12,10/28/24 14:55,Cancelado,1993.32,
162,100,20,38,11/26/24 19:05,Completado,1652.69,
163,7,11,18,9/23/23 16:53,Completado,992.74,
164,77,4,40,10/27/24 19:59,Cancelado,1957.08,
165,28,4,39,6/24/23 17:56,Completado,405.93,
166,53,20,12,11/25/23 17:37,Completado,439.52,
167,5,6,2,5/21/24 13:28,Completado,513,
168,100,18,10,9/27/24 20:57,Completado,954.25,
169,15,20,12,4/17/23 15:54,Completado,168.43,
170,97,6,7,1/31/23 20:55,Enviado,1807.47,
171,14,11,38,7/11/23 18:20,Enviado,846.38,
172,75,16,28,7/3/24 12:56,Enviado,439.98,
173,15,19,23,5/26/23 12:46,Completado,580.28,
174,11,7,14,9/26/24 8:52,Enviado,610,
175,30,11,19,2/15/23 8:02,Completado,118.59,
176,73,7,26,6/6/24 13:34,Enviado,1899.91,
177,34,8,8,1/10/23 15:48,Enviado,1305.28,
178,47,17,2,2/21/24 17:52,Completado,458.49,
179,22,8,1,5/23/24 18:48,Completado,346.02,
180,81,1,19,12/2/23 19:30,Completado,1165.83,
181,70,6,23,3/1/24 13:51,Completado,832.06,
182,95,2,11,8/14/23 11:09,Completado,163.64,
183,40,1,40,2/5/23 15:05,Completado,4023.76,
184,20,4,15,6/23/24 18:10,Completado,173.84,
185,54,10,22,9/13/24 13:46,Enviado,126.54,
186,58,20,30,12/14/23 20:14,Completado,1289.64,
187,64,5,18,4/25/23 12:16,En proceso,317.49,
188,12,20,26,4/8/23 12:02,Completado,3442.37,
189,70,11,36,4/29/23 8:04,Completado,588.57,
190,18,10,3,3/20/24 8:10,Completado,392.14,
191,73,5,8,5/6/24 10:18,Completado,270.26,
192,24,2,38,11/2/23 8:16,Cancelado,2956.7,
193,37,10,38,10/19/24 8:51,Enviado,1083.24,
194,39,17,24,8/17/23 17:20,Completado,926.55,
195,11,6,20,11/28/24 13:19,Enviado,257.57,
196,18,12,10,1/5/23 8:28,Enviado,808.27,
197,81,3,8,9/23/24 13:17,Completado,144.15,
198,50,3,37,6/11/23 20:32,Completado,806.57,
199,100,1,33,1/12/24 10:50,Enviado,549.13,
200,73,7,28,11/6/23 18:10,Completado,1150.38,
